Rank,Year,Title,Artist
1,2013,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
2,2013,Blurred Lines,Robin ThickeFeaturing T.I. + Pharrell
3,2013,Radioactive,Imagine Dragons
4,2013,Harlem Shake,Baauer
5,2013,Can't Hold Us,Macklemore & Ryan Lewis FeaturingRay Dalton
6,2013,Mirrors,Justin Timberlake
7,2013,Just Give Me A Reason,P!nk Featuring Nate Ruess
8,2013,When I Was Your Man,Bruno Mars
9,2013,Cruise,Florida Georgia LineFeaturingNelly
10,2013,Roar,Katy Perry
11,2013,Locked Out Of Heaven,Bruno Mars
12,2013,Ho Hey,The Lumineers
13,2013,Stay,RihannaFeaturing Mikky Ekko
14,2013,Get Lucky,Daft PunkFeaturingPharrell Williams
15,2013,Royals,Lorde
16,2013,I Knew You Were Trouble.,Taylor Swift
17,2013,We Can't Stop,Miley Cyrus
18,2013,Wrecking Ball,Miley Cyrus
19,2013,Wake Me Up!,Avicii
20,2013,Suit & Tie,Justin TimberlakeFeaturing JAY Z
21,2013,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick
22,2013,Holy Grail,Jay Z FeaturingJustin Timberlake
23,2013,Scream & Shout,will.i.am&Britney Spears
24,2013,Clarity,ZeddFeaturingFoxes
25,2013,Sail,AWOLNATION
26,2013,Don't You Worry Child,Swedish House MafiaFeaturingJohn Martin
27,2013,Diamonds,Rihanna
28,2013,I Love It,Icona PopFeaturingCharli xcx
29,2013,Safe And Sound,Capital Cities
30,2013,Treasure,Bruno Mars
31,2013,The Way,Ariana GrandeFeaturingMac Miller
32,2013,Started From The Bottom,Drake
33,2013,Come & Get It,Selena Gomez
34,2013,"Hold On, We're Going Home",DrakeFeaturingMajid Jordan
35,2013,Daylight,Maroon 5
36,2013,Feel This Moment,PitbullFeaturingChristina Aguilera
37,2013,Applause,Lady Gaga
38,2013,One More Night,Maroon 5
39,2013,Love Me,Lil WayneFeaturingDrake&Future
40,2013,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
41,2013,F**kin Problems,"A$AP RockyFeaturingDrake,2 Chainz&Kendrick Lamar"
42,2013,Beauty And A Beat,Justin BieberFeaturingNicki Minaj
43,2013,Same Love,Macklemore & Ryan Lewis FeaturingMary Lambert
44,2013,Sweet Nothing,Calvin HarrisFeaturing Florence Welch
45,2013,Summertime Sadness,Lana Del Reyvs.Cedric Gervais
46,2013,Home,Phillip Phillips
47,2013,It's Time,Imagine Dragons
48,2013,Power Trip,J. ColeFeaturingMiguel
49,2013,Girl On Fire,Alicia KeysFeaturingNicki Minaj
50,2013,Heart Attack,Demi Lovato
51,2013,Love Somebody,Maroon 5
52,2013,I Will Wait,Mumford & Sons
53,2013,Try,P!nk
54,2013,Wagon Wheel,Darius Rucker
55,2013,Gangnam Style,PSY
56,2013,I Need Your Love,Calvin HarrisFeaturingEllie Goulding
57,2013,Die Young,Ke$ha
58,2013,Some Nights,fun.
59,2013,Bad,WaleFeaturingTiara ThomasOrRihanna
60,2013,Boys 'Round Here,Blake SheltonFeaturingPistol Annies&Friends
61,2013,"Gone, Gone, Gone",Phillip Phillips
62,2013,Demons,Imagine Dragons
63,2013,Counting Stars,OneRepublic
64,2013,I Cry,Flo Rida
65,2013,Little Talks,Of Monsters and Men
66,2013,The Other Side,Jason Derulo
67,2013,Berzerk,Eminem
68,2013,Catch My Breath,Kelly Clarkson
69,2013,Crash My Party,Luke Bryan
70,2013,Pour It Up,Rihanna
71,2013,22,Taylor Swift
72,2013,I Want Crazy,Hunter Hayes
73,2013,The Fox,Ylvis
74,2013,Best Song Ever,One Direction
75,2013,The A Team,Ed Sheeran
76,2013,Carry On,fun.
77,2013,Highway Don't Care,Tim McGrawWithTaylor Swift
78,2013,That's My Kind Of Night,Luke Bryan
79,2013,Swimming Pools (Drank),Kendrick Lamar
80,2013,Sure Be Cool If You Did,Blake Shelton
81,2013,#Beautiful,Mariah CareyFeaturingMiguel
82,2013,Troublemaker,Olly MursFeaturingFlo Rida
83,2013,Body Party,Ciara
84,2013,Adorn,Miguel
85,2013,Hall Of Fame,The ScriptFeaturingwill.i.am
86,2013,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
87,2013,U.O.E.N.O.,Rocko FeaturingFuture&Rick Ross
88,2013,Next To Me,Emeli Sande
89,2013,Mama's Broken Heart,Miranda Lambert
90,2013,It Goes Like This,Thomas Rhett
91,2013,Bugatti,Ace HoodFeaturingFuture&Rick Ross
92,2013,Wanted,Hunter Hayes
93,2013,Downtown,Lady Antebellum
94,2013,Get Your Shine On,Florida Georgia Line
95,2013,#thatPOWER,will.i.amFeaturingJustin Bieber
96,2013,Brave,Sara Bareilles
97,2013,Let Her Go,Passenger
98,2013,Runnin' Outta Moonlight,Randy Houser
99,2013,I'm Different,2 Chainz
100,2013,Still Into You,Paramore
1,2014,Happy,Pharrell Williams
2,2014,Dark Horse,Katy PerryFeaturingJuicy J
3,2014,All Of Me,John Legend
4,2014,Fancy,Iggy AzaleaFeaturingCharli xcx
5,2014,Counting Stars,OneRepublic
6,2014,Talk Dirty,Jason DeruloFeaturing2 Chainz
7,2014,Rude,MAGIC!
8,2014,All About That Bass,Meghan Trainor
9,2014,Problem,Ariana GrandeFeaturingIggy Azalea
10,2014,Stay With Me,Sam Smith
11,2014,Timber,PitbullFeaturing Ke$ha
12,2014,Pompeii,Bastille
13,2014,Shake It Off,Taylor Swift
14,2014,Am I Wrong,Nico & Vinz
15,2014,Turn Down For What,DJ Snake&Lil Jon
16,2014,The Monster,EminemFeaturingRihanna
17,2014,Say Something,A Great Big World&Christina Aguilera
18,2014,Team,Lorde
19,2014,Let Her Go,Passenger
20,2014,Royals,Lorde
21,2014,Let It Go,Idina Menzel
22,2014,Wake Me Up!,Avicii
23,2014,Demons,Imagine Dragons
24,2014,Story Of My Life,One Direction
25,2014,Chandelier,Sia
26,2014,Black Widow,Iggy AzaleaFeaturingRita Ora
27,2014,Bang Bang,"Jessie J,Ariana Grande&Nicki Minaj"
28,2014,Latch,DisclosureFeaturingSam Smith
29,2014,Maps,Maroon 5
30,2014,Loyal,Chris BrownFeaturingLil Wayne&French MontanaOrToo $hortOrTyga
31,2014,Best Day Of My Life,American Authors
32,2014,Habits (Stay High),Tove Lo
33,2014,Summer,Calvin Harris
34,2014,Boom Clap,Charli xcx
35,2014,Drunk In Love,Beyonce Featuring Jay Z
36,2014,Anaconda,Nicki Minaj
37,2014,Break Free,Ariana GrandeFeaturingZedd
38,2014,Bailando,Enrique IglesiasFeaturingDescemer Bueno&Gente De Zona
39,2014,Burn,Ellie Goulding
40,2014,Wiggle,Jason DeruloFeaturingSnoop Dogg
41,2014,Rather Be,Clean BanditFeaturingJess Glynne
42,2014,Don't Tell 'Em,JeremihFeaturingYG
43,2014,Show Me,Kid InkFeaturingChris Brown
44,2014,Wrecking Ball,Miley Cyrus
45,2014,Not A Bad Thing,Justin Timberlake
46,2014,Roar,Katy Perry
47,2014,Ain't It Fun,Paramore
48,2014,The Man,Aloe Blacc
49,2014,This Is How We Roll,Florida Georgia LineFeaturingLuke Bryan
50,2014,Classic,MKTO
51,2014,A Sky Full Of Stars,Coldplay
52,2014,Don't,Ed Sheeran
53,2014,Na Na,Trey Songz
54,2014,Hot Boy,Bobby Shmurda
55,2014,"Hold On, We're Going Home",DrakeFeaturingMajid Jordan
56,2014,Sing,Ed Sheeran
57,2014,Radioactive,Imagine Dragons
58,2014,My Hitta,YGFeaturingJeezy& Rich Homie Quan
59,2014,Cool Kids,Echosmith
60,2014,Hey Brother,Avicii
61,2014,Trumpets,Jason Derulo
62,2014,Animals,Maroon 5
63,2014,Burnin' It Down,Jason Aldean
64,2014,Play It Again,Luke Bryan
65,2014,2 On,TinasheFeaturingScHoolboy Q
66,2014,Dirt,Florida Georgia Line
67,2014,Love Runs Out,OneRepublic
68,2014,Bottoms Up,Brantley Gilbert
69,2014,Shower,Becky G
70,2014,Me And My Broken Heart,Rixton
71,2014,Animals,Martin Garrix
72,2014,Lifestyle,Rich Gang FeaturingYoung Thug& Rich Homie Quan
73,2014,American Kids,Kenny Chesney
74,2014,Brave,Sara Bareilles
75,2014,Sweater Weather,The Neighbourhood
76,2014,Leave The Night On,Sam Hunt
77,2014,New Flame,Chris BrownFeaturingUsher&Rick Ross
78,2014,Love Never Felt So Good,Michael Jackson &Justin Timberlake
79,2014,Drunk On A Plane,Dierks Bentley
80,2014,Birthday,Katy Perry
81,2014,Bartender,Lady Antebellum
82,2014,La La La,Naughty Boy FeaturingSam Smith
83,2014,Blurred Lines,Robin ThickeFeaturing T.I. + Pharrell
84,2014,Do What U Want,Lady GagaFeaturingR. Kelly
85,2014,Can't Remember To Forget You,ShakiraFeaturingRihanna
86,2014,Amnesia,5 Seconds of Summer
87,2014,No Mediocre,T.I. FeaturingIggy Azalea
88,2014,Come With Me Now,KONGOS
89,2014,Believe Me,Lil WayneFeaturingDrake
90,2014,23,"Mike Will Made-ItFeaturingMiley Cyrus,Wiz Khalifa&Juicy J"
91,2014,Beachin',Jake Owen
92,2014,White Walls,Macklemore & Ryan Lewis FeaturingScHoolboy Q&Hollis
93,2014,She Looks So Perfect,5 Seconds of Summer
94,2014,Stay The Night,ZeddFeaturingHayley Williams
95,2014,Partition,Beyonce
96,2014,Studio,ScHoolboy QFeaturingBJ the Chicago Kid
97,2014,0 To 100 / The Catch Up,Drake
98,2014,I Don't Dance,Lee Brice
99,2014,Somethin' Bad,Miranda LambertDuet WithCarrie Underwood
100,2014,Adore You,Miley Cyrus
1,2015,Uptown Funk!,Mark RonsonFeaturingBruno Mars
2,2015,Thinking Out Loud,Ed Sheeran
3,2015,See You Again,Wiz KhalifaFeaturingCharlie Puth
4,2015,Trap Queen,Fetty Wap
5,2015,Sugar,Maroon 5
6,2015,Shut Up And Dance,Walk the Moon
7,2015,Blank Space,Taylor Swift
8,2015,Watch Me,Silento
9,2015,Earned It (Fifty Shades Of Grey),The Weeknd
10,2015,The Hills,The Weeknd
11,2015,Cheerleader,OMI
12,2015,Can't Feel My Face,The Weeknd
13,2015,Love Me Like You Do,Ellie Goulding
14,2015,Take Me To Church,Hozier
15,2015,Bad Blood,Taylor SwiftFeaturingKendrick Lamar
16,2015,Lean On,Major LazerXDJ SnakeFeaturingMo
17,2015,Want To Want Me,Jason Derulo
18,2015,Shake It Off,Taylor Swift
19,2015,Where Are U Now,Skrillex&DiploWithJustin Bieber
20,2015,Fight Song,Rachel Platten
21,2015,679,Fetty WapFeaturingRemy Boyz
22,2015,Lips Are Movin,Meghan Trainor
23,2015,Worth It,Fifth HarmonyFeaturingKid Ink
24,2015,Post To Be,OmarionFeaturingChris Brown&Jhene Aiko
25,2015,"Honey, I'm Good.",Andy Grammer
26,2015,I'm Not The Only One,Sam Smith
27,2015,Good For You,Selena GomezFeaturingA$AP Rocky
28,2015,All About That Bass,Meghan Trainor
29,2015,Style,Taylor Swift
30,2015,Hotline Bling,Drake
31,2015,Hey Mama,"David GuettaFeaturingNicki Minaj,Bebe Rexha&Afrojack"
32,2015,G.D.F.R.,Flo RidaFeaturingSage The Gemini&Lookas
33,2015,What Do You Mean?,Justin Bieber
34,2015,Photograph,Ed Sheeran
35,2015,Hello,Adele
36,2015,Stitches,Shawn Mendes
37,2015,Talking Body,Tove Lo
38,2015,Jealous,Nick Jonas
39,2015,Time Of Our Lives,Pitbull&Ne-Yo
40,2015,Locked Away,R. CityFeaturingAdam Levine
41,2015,Somebody,Natalie La Rose FeaturingJeremih
42,2015,FourFiveSeconds,Rihanna&Kanye West&Paul McCartney
43,2015,Centuries,Fall Out Boy
44,2015,My Way,Fetty WapFeaturing Monty
45,2015,Take Your Time,Sam Hunt
46,2015,Animals,Maroon 5
47,2015,I Don't F**k With You,Big SeanFeaturingE-40
48,2015,B**** Better Have My Money,Rihanna
49,2015,Flex (Ooh Ooh Ooh),Rich Homie Quan
50,2015,Nasty Freestyle,T-Wayne
51,2015,Only,"Nicki MinajFeaturingDrake,Lil Wayne&Chris Brown"
52,2015,Elastic Heart,Sia
53,2015,Cool For The Summer,Demi Lovato
54,2015,Renegades,X Ambassadors
55,2015,I Don't Mind,UsherFeaturingJuicy J
56,2015,Love Me Harder,Ariana Grande&The Weeknd
57,2015,Wildest Dreams,Taylor Swift
58,2015,Stay With Me,Sam Smith
59,2015,You Know You Like It,DJ Snake&AlunaGeorge
60,2015,Uma Thurman,Fall Out Boy
61,2015,7/11,Beyonce
62,2015,The Heart Wants What It Wants,Selena Gomez
63,2015,Girl Crush,Little Big Town
64,2015,Slow Motion,Trey Songz
65,2015,Drag Me Down,One Direction
66,2015,Truffle Butter,Nicki MinajFeaturingDrake&Lil Wayne
67,2015,One Last Time,Ariana Grande
68,2015,Chains,Nick Jonas
69,2015,All Eyes On You,Meek MillFeaturingChris Brown&Nicki Minaj
70,2015,No Type,Rae Sremmurd
71,2015,Riptide,Vance Joy
72,2015,Classic Man,JidennaFeaturingRoman Gianarthur
73,2015,Ex's & Oh's,Elle King
74,2015,Dear Future Husband,Meghan Trainor
75,2015,Marvin Gaye,Charlie PuthFeaturingMeghan Trainor
76,2015,Like I'm Gonna Lose You,Meghan TrainorFeaturingJohn Legend
77,2015,Habits (Stay High),Tove Lo
78,2015,The Hanging Tree,James Newton HowardFeaturing Jennifer Lawrence
79,2015,CoCo,O.T. Genasis
80,2015,Bang Bang,"Jessie J,Ariana Grande&Nicki Minaj"
81,2015,Lay Me Down,Sam Smith
82,2015,Tuesday,I Love MakonnenFeaturingDrake
83,2015,Hit The Quan,iLoveMemphis
84,2015,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel,Kool Moe Dee&Grandmaster Caz"
85,2015,House Party,Sam Hunt
86,2015,Ayo,Chris Brown&Tyga
87,2015,Kick The Dust Up,Luke Bryan
88,2015,Blessings,Big SeanFeaturingDrake
89,2015,Budapest,George Ezra
90,2015,Chandelier,Sia
91,2015,Heartbeat Song,Kelly Clarkson
92,2015,Don't,Ed Sheeran
93,2015,Ghost,Ella Henderson
94,2015,Here,Alessia Cara
95,2015,Waves,Mr. Probz
96,2015,El Perdon (Forgiveness),Nicky Jam&Enrique Iglesias
97,2015,She Knows,Ne-YoFeaturingJuicy J
98,2015,Night Changes,One Direction
99,2015,Back To Back,Drake
